Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Pont-de-la-Deule	O	Flers-en-Escrebieux	Nord	"50.3976890326,3.08494691986"
Seclin	O	Seclin	Nord	"50.5476913971,3.03495912365"
Sains-du-Nord	O	Sains-du-Nord	Nord	"50.0886697339,4.00157766487"
Templeuve	O	Templeuve	Nord	"50.5278021576,3.17734293442"
Nomain	O	Nomain	Nord	"50.5010580953,3.20893111909"
La Bleuse-Borne	N	Anzin	Nord	"50.3822075797,3.52191862911"
Le Poirier	O	Trith-St-Léger	Nord	"50.3256405292,3.50262609527"
Berlaimont	O	Berlaimont	Nord	"50.194020809,3.81946340853"
Nomain-Ouvignies	O	Nomain	Nord	"50.5063033468,3.23076734287"
Cysoing	O	Cysoing	Nord	"50.5621200125,3.20979928315"
Tressin	O	Tressin	Nord	"50.6121298014,3.18945987099"
Lezennes	O	Lille	Nord	"50.6203925089,3.09851249291"
Annappes	O	Villeneuve-d'Ascq	Nord	"50.6228762327,3.14635102585"
